file,line,code,message
src/tests/integration/pipeline-integration.test.tsx,20,TS18046,'vi' is of type 'unknown'
src/tests/integration/pipeline-integration.test.tsx,21,TS18046,'vi' is of type 'unknown'
src/tests/integration/pipeline-integration.test.tsx,22,TS18046,'vi' is of type 'unknown'
src/tests/integration/pipeline-integration.test.tsx,23,TS18046,'vi' is of type 'unknown'
src/tests/integration/pipeline-integration.test.tsx,24,TS18046,'vi' is of type 'unknown'
src/tests/integration/pipeline-integration.test.tsx,25,TS18046,'vi' is of type 'unknown'
src/tests/integration/pipeline-integration.test.tsx,26,TS18046,'vi' is of type 'unknown'
src/tests/integration/pipeline-integration.test.tsx,27,TS18046,'vi' is of type 'unknown'
src/tests/integration/pipeline-integration.test.tsx,30,TS18046,'vi' is of type 'unknown'
src/tests/integration/pipeline-integration.test.tsx,35,TS18046,'vi' is of type 'unknown'
src/tests/integration/geolocation.integration.test.ts,241,TS18046,'expect' is of type 'unknown'
src/tests/integration/geolocation.integration.test.ts,242,TS18046,'expect' is of type 'unknown'
src/tests/integration/geolocation.integration.test.ts,245,TS18046,'it' is of type 'unknown'
src/tests/integration/geolocation.integration.test.ts,246,TS18046,'vi' is of type 'unknown'
src/tests/integration/geolocation.integration.test.ts,248,TS2341,Property 'reverseGeocode' is private and only accessible within class 'GeolocationService'
src/tests/integration/geolocation.integration.test.ts,250,TS18046,'expect' is of type 'unknown'
src/tests/integration/geolocation.integration.test.ts,254,TS18046,'describe' is of type 'unknown'
src/tests/integration/geolocation.integration.test.ts,255,TS18046,'it' is of type 'unknown'
src/tests/integration/geolocation.integration.test.ts,256,TS2341,Property 'reverseGeocode' is private and only accessible within class 'GeolocationService'
src/tests/integration/geolocation.integration.test.ts,258,TS18046,'expect' is of type 'unknown'
src/tests/integration/geolocation.integration.test.ts,262,TS18046,'it' is of type 'unknown'
src/tests/integration/geolocation.integration.test.ts,263,TS2341,Property 'reverseGeocode' is private and only accessible within class 'GeolocationService'
src/tests/integration/geolocation.integration.test.ts,265,TS18046,'expect' is of type 'unknown'
src/tests/integration/geolocation.integration.test.ts,270,TS18046,'describe' is of type 'unknown'
src/tests/integration/geolocation.integration.test.ts,271,TS18046,'it' is of type 'unknown'
src/tests/integration/geolocation.integration.test.ts,273,TS7006,Parameter 'success' implicitly has an 'any' type
src/tests/integration/geolocation.integration.test.ts,279,TS18046,'vi' is of type 'unknown'
src/tests/integration/geolocation.integration.test.ts,294,TS18046,'expect' is of type 'unknown'
src/tests/integration/geolocation.integration.test.ts,295,TS18046,'expect' is of type 'unknown'
src/tests/integration/geolocation.integration.test.ts,296,TS18046,'expect' is of type 'unknown'
src/tests/integration/geolocation.integration.test.ts,297,TS18046,'expect' is of type 'unknown'
src/tests/integration/geolocation.integration.test.ts,298,TS18046,'expect' is of type 'unknown'
src/tests/integration/geolocation.integration.test.ts,299,TS18046,'expect' is of type 'unknown'
src/tests/integration/geolocation.integration.test.ts,300,TS18046,'expect' is of type 'unknown'
src/tests/integration/geolocation.integration.test.ts,303,TS18046,'it' is of type 'unknown'
src/tests/integration/geolocation.integration.test.ts,306,TS18046,'vi' is of type 'unknown'
src/tests/integration/geolocation.integration.test.ts,309,TS7006,Parameter 'success' implicitly has an 'any' type
src/tests/integration/geolocation.integration.test.ts,315,TS18046,'vi' is of type 'unknown'
src/tests/integration/geolocation.integration.test.ts,328,TS18046,'expect' is of type 'unknown'
src/tools/manualClinicalTest.ts,218,TS2554,Expected 1 arguments, but got 2
